WKT,名前,説明
"POINT (139.33785 35.62775)",ポイント 1,2
"POINT (139.33911 35.62656)",ポイント 2,37
"POINT (139.34047 35.62726)",ポイント 3,37-11-38-41
"POINT (139.3410705 35.6275419)",ポイント 4,5-11-41
"POINT (139.3414996 35.6276814)",ポイント 5,6
"POINT (139.3419154 35.6275136)",ポイント 6,7
"POINT (139.3420736 35.6271778)",ポイント 7,12-8
"POINT (139.3418939 35.6268268)",ポイント 8,9
"POINT (139.3414513 35.6267025)",ポイント 9,10
"POINT (139.3410544 35.6268573)",ポイント 10,11
"POINT (139.3408908 35.6272083)",ポイント 11,
"POINT (139.3422969 35.6272431)",ポイント 12,13
"POINT (139.3425886 35.626781)",ポイント 13,14
"POINT (139.3430493 35.626148)",ポイント 14,20
"POINT (139.3435577 35.6255943)",ポイント 15,20-16
"POINT (139.3441209 35.6258559)",ポイント 16,17
"POINT (139.3446896 35.6252498)",ポイント 17,18
"POINT (139.3456444 35.6257992)",ポイント 18,19
"POINT (139.345285 35.6262265)",ポイント 19,
"POINT (139.3433324 35.6258297)",ポイント 20,21
"POINT (139.342576 35.6253413)",ポイント 21,34-22
"POINT (139.342238 35.6258079)",ポイント 22,40
"POINT (139.3413261 35.6252759)",ポイント 23,24-40
"POINT (139.341428 35.6251364)",ポイント 24,32
"POINT (139.3404785 35.6246001)",ポイント 25,29-26
"POINT (139.3399421 35.6242861)",ポイント 26,35-27
"POINT (139.339706 35.6246132)",ポイント 27,28
"POINT (139.3402317 35.6253806)",ポイント 28,
"POINT (139.3406931 35.6243559)",ポイント 29,30
"POINT (139.3409238 35.6244693)",ポイント 30,32
"POINT (139.3414065 35.6239155)",ポイント 31,35-39
"POINT (139.3416211 35.6248704)",ポイント 32,33
"POINT (139.3418196 35.6247527)",ポイント 33,34
"POINT (139.3423936 35.624805)",ポイント 34,
"POINT (139.3406663 35.6235056)",ポイント 35,
"POINT (139.3406259 35.6255519)",ポイント 36,37-38
"POINT (139.3395959 35.6268034)",ポイント 37,
"POINT (139.34149 35.62602)",ポイント 38,40
"POINT (139.3423183 35.6244139)",ポイント 39,
"POINT (139.34186 35.62558)",ポイント 40,
"POINT (139.34078 35.62741)",ポイント 41,
